left_skid,right_skid,cosine_similarity,left_name
15712024,15620606,0.0,MN-L-Sens-B2-VM-13
15713374,15620432,0.0,MN-L-Sens-B2-VM-17
15711222,15607180,0.0,MN-L-Sens-B2-VM-07
17075832,14039007,0.0,BAlp descending 1 left
10237401,5858788,0.0,CM13 splitter left
12140925,7019050,0.0,A01a_a1l
15678849,15618976,0.0,MN-L-Sens-B2-VM-12
15711289,18679889,0.0,MN-L-Sens-B2-VM-16
15690392,15615305,0.0,MN-L-Sens-B2-VM-11
14522404,13774384,0.0,NB5-2 lineage 6 (HMD X?)_a1l
7851153,8245146,0.0,82a PN left
15690955,15617459,0.0,MN-L-Sens-B2-VM-06
15679484,15610387,0.007751705078161586,MN-L-Sens-B2-VM-08
15698623,15594123,0.008678770419892734,MN-L-Sens-B1-VM-02
20395646,17210906,0.010130511230913797,A07c?_a1l (NICE post MDN pre A27l)
16311589,15518548,0.010135192974010998,ddaF a1l class III md
7338309,17352470,0.019350216150861743,DPMpl12 Brain into SEZ left
15677030,15656435,0.027105237087157508,MN-L-Sens-B2-VM-05
10380647,13122290,0.030414953233623643,c1_A01j_a1l/TODO
10527147,7573476,0.0322412940109581,CP descending contralateral 3 left
15715151,15653927,0.03243018108085405,MN-L-Sens-B2-VM-01
16229844,16312904,0.04002929231037977,ddaE_a1l (class I)
1392771,15563553,0.046436846690766975,AN-L-Sens-B1-ACa-06
12014775,10498094,0.04984447862792274,A03_preA08m_a1l
1377586,15562137,0.05002149823227531,AN-L-Sens-B1-ACa-07
15730645,15914721,0.05178382224025235,MN-L-Sens-B3-VM-05
7005145,7590264,0.052297636036849116,CP descending contralateral 2 left
8095967,18120415,0.05439282932204215,Jaam-4 (HMD IV A12X)_a1l
13830600,16057212,0.055048188256318076,BAmas12_dor descending 1 left
15725127,15637893,0.05783244056536474,MN-L-Sens-B3-VM-10
10915553,11905911,0.05872202195147036,CM4-dm Switcheroo 1 left
12998937,14938436,0.05940885257860051,A10i2?_a1l Chair-5? 
9820270,15574328,0.06143192650784257,AN-L-Sens-B1-AVa-29
15560233,15895346,0.06377928041432801,A06 (not A12?)_a1l
1405493,15548694,0.07544164085776595,AN-L-Sens-B1-ACa-09
15716127,3071301,0.07770857108455242,MN-L-Sens-B2-ACp-13
4991243,8227502,0.07847849263290319,DPMpl12 Giraffe 1 left
15984797,15564661,0.08229511997978234,AN-L-Sens-B1-AVa-23
4213417,10004243,0.09171981964368281,A27k_a1l
17557290,10946002,0.09972107871865932,BLVp12 sickle 3 left
4928976,7823087,0.10699012312772815,A23i a1l
20172310,9521722,0.10783277320343843,UNK brancher 3 left
11186471,12147878,0.10894504794371129,A10b_a1l
11717025,8413543,0.10905972787416118,BLP12 descending 4 left; dpn_left_1304_7
15998307,15573283,0.1122619246495774,AN-L-Sens-B2-ACp-10
9842383,6219445,0.11495829158886905,UNK anterior basal 1 left
16952642,6155577,0.11561466260321596,DALd descending thin left; DALd_l  8 continues after gap
8055671,5448622,0.11802845508738125,MN-L-Sens-B1-ACpl-01
15995327,15748726,0.12284634323262944,AN-L-Sens-B1-AVa-37
15725673,18785124,0.12403473458920844,MN-L-Sens-B3-VM-07
15005403,15894178,0.12501526158359877,UNK descending contralateral 2 left
17423125,5559657,0.1289309908056877,BAmas12 midline neuron 4 left
11717040,21590962,0.12910691655485973,BLP12 gripper 3 left; dpn_left_1304_10
7944660,5584761,0.1355980896482457,A09 contra LN_a1l
10921106,16388736,0.138867519723613,CM4 contralateral descending 1 left_JMpair17
16852622,16950767,0.1430658458798253,LAL output neuron DALcm left
1431256,9716858,0.14586499149789456,AN-L-Sens-B1-AVa-27
15724520,15638520,0.147087101353638,MN-L-Sens-B3-VM-06
15714173,15671481,0.15552315827194785,MN-L-Sens-B1-VM-05
18769231,7855488,0.15601529024770322,A02j_a1l
15365184,5512988,0.15756771943166703,CPd descending ipsilateral left
9787859,11941255,0.16587400366235883,Inter2 left 
15724175,15640724,0.16941796142137322,MN-L-Sens-B3-VM-11
3995976,17872154,0.17864585848978853,A01d3_a1l
18458734,13775497,0.1799636510133722,A06k_a1l
17732291,17659219,0.18144368465060579,DPMpl12 twig left
15699715,18833414,0.1819017187772497,MN-L-Sens-B2-VM-23
1767828,4139768,0.1837260848698501,A12m_a1l
4060628,6755064,0.1862940083488548,A08m_a1l
3048606,3009700,0.18952677386045025,Coaster (NPF) Left
15686512,15615081,0.19099870825159881,MN-L-Sens-B2-ACp-14
10949382,16945771,0.19346033336266988,A08(X16)_a1l (A07_a1l)
9795662,15250080,0.19621636316481483,BAmas12_ven descending 4 left
17102002,1065967,0.19753696889448003,DPMl_ant_ven descending left
10378182,16713231,0.19999999999999996,PVM21?_left
10955244,11248536,0.19999999999999996,from mPN 16 neuron 10955244 left
1414206,15564807,0.20113853762739953,AN-L-Sens-B1-AVa-16
9787592,13191017,0.20918751751455156,BAmas12_ven descending 3 left
1351125,15564911,0.21083303135915576,AN-L-Sens-B1-AVa-40
19820800,15101511,0.21161947784524238,A19d_a1l
17353986,18604097,0.21469688008935395,DPMl_ant_ven descending 3 left
14539753,12962772,0.21864544331434865,BS; CM4 dor ant 1 DNs_left
15673867,15651438,0.22849048681154382,MN-L-Sens-B2-ACp-22
7862356,16014849,0.22875450543583875,A30x/Drunken_a1l
3720037,5206247,0.23029872411109953,gorogoro t2l
1435466,15546924,0.23032671985243935,AN-L-Sens-B1-AVa-21
17373283,10339991,0.2321297390141659,DPMpm1 3_left
15717736,15639020,0.23339838801808344,MN-L-Sens-B3-ACp-05
5120990,4044654,0.23488808780588144,AN-L-Sens-B3-VM-13
15725545,15639275,0.23606114998212924,MN-L-Sens-B3-VM-09
17321919,4215611,0.23930866075165302,DPMl Sloppy left
1432836,15564782,0.24119153509747393,AN-L-Sens-B1-AVa-18
15769419,15548107,0.2429523166928279,AN-L-Sens-B1-ACa-08
1375101,6883831,0.2463531552531658,AN-L-Sens-B1-AVa-17
6604203,2670619,0.24884833913000104,putative 11H10 left
8059283,14913093,0.25374173874012373,A08s1_a1l 
16009772,10929871,0.25629436503919134,A08c_a1l
11874130,10868477,0.25671801540513517,v'td-2_a1l
15998899,15605657,0.25783730731501464,AN-L-Sens-B2-AVp-02
1398253,15574199,0.2598022150812752,AN-L-Sens-B1-ACa-05
19361427,16950354,0.2613610437735485,DALd descending 3 left; LAL output neuorn_l 2?; DALd_l 5
15724636,15671848,0.26415616784897955,MN-L-Sens-B3-VM-08
12039793,5452198,0.26590114692379363,A06g2_a1l (Saaghi-5)
7439913,15934458,0.2677650335789704,BAlp descending 3 left
13749806,14034206,0.26850630658076136,telegoro-2 left; Txx_t1r
12809923,8234099,0.2688774478590815,A08e2_a1l
16232990,10515937,0.26917263839497396,vpda_a1l (class I)
17399735,7880001,0.27315087216359124,A08o_a1l
17359501,13763548,0.276266050756409,BAmd descending left
15724385,15638968,0.27774961142594545,MN-L-Sens-B3-AVp-01
7424178,15564882,0.2826846192833288,AN-L-Sens-B1-AVa-30
18695745,17587734,0.2845338648384055,BAmv12 contralateral 2 left
12874044,17077347,0.28895745753230795,JaamXX A12f_a1l 
16278807,16014834,0.2914905267118203,A30x2/Drunken_a1l
15681740,15589411,0.29213288797485837,MN-L-Sens-B2-ACp-21
16952648,5900426,0.29357847585005126,DALd midloop 1 left; DALd_l  9
16531827,16042066,0.2951093334146957,A03 (upstream of A08m)_a1l
17736654,20911961,0.3033707865168538,UNK descending 3 left
3804108,5350411,0.31280223222014913,A17a (= Pre-goro4)_a1l
15996160,15533421,0.313691005879845,AN-L-Sens-B2-AVp-03
9835169,9503203,0.3151509133860104,v'td_a4l (Abdominal Sensory)
19242617,10133525,0.3198079445149319,A14 dude?_a1l
16014607,3122533,0.33333333333333326,BLDc descending 1 left
15680093,10934438,0.3363909954904265,MN-L-Sens-B2-ACp-19
12044223,15351228,0.33732760837018727,A05?_a1l_HOOD NEURON
11013583,17589475,0.34233569549228293,UNK descending contralateral left
15984231,15567466,0.34365209961631693,AN-L-Sens-B1-AVa-35
16952665,6154921,0.34410591489547215,DALd sparse descending left; DALd_l  12
1415168,945309,0.3481553119113957,AN-L-Sens-B1-AVa-26
15714330,15638742,0.35080090703895594,MN-L-Sens-B1-VM-03
15522152,15548844,0.3532419485477858,DALcm12_v_p_11_left
16952691,5052370,0.3574927859530641,DALd descending 1 left; DALd_l X?
20812872,10739296,0.35921060405354976,BLAv12_lat pointer-like 2 left
7227010,16115575,0.36187343222787294,CM4-dm Switcheroo 4 left
12040460,16119910,0.36297589582265444,Saaghi-4_a1l (AAZ4  (A06g))
11106522,10312570,0.3638201576150619,A01x2_a1l
12042425,4728120,0.364325123206924,Saaghi-6_a1l (AAZ6  (A06b))
12820085,12834795,0.36489521078178744,A14b a1l
7556564,15640893,0.3756819032243064,MN-L-Sens-B3-ACp-03
4778439,3546334,0.3771759067725886,A02m_a1l Pseudolooper-3
3652587,3822523,0.3776464268304347,AN-L-Sens-B3-ACp-08
6445994,3436420,0.3781559497238287,Pre PMN left
7864823,8245014,0.3814059169796682,59a PN left
15700147,15743905,0.3815992368022896,MN-L-Sens-B1-VM-04
15982306,15569561,0.3833065446578625,AN-L-Sens-B1-AVa-28
16444758,17762417,0.3854513441884373,MB2ON-205 like left
10220679,18468751,0.3857600757911479,A19f_a1l
19884188,10945581,0.3868165392123424,BLVp12 sickle 2 left
15714639,15595950,0.387413859462854,MN-L-Sens-B2-ACpl-01 (Awesome MN sensory 2)
17728571,10221622,0.3952123486027511,BAl descending left
9808022,15658013,0.39813159245197904,MN-L-Sens-B2-AVp-01
19101351,3848843,0.39813315102378144,BLVp1 bilateral descending left
10152437,6896580,0.3991690164457885,A07c4??_a1l
13422280,7589765,0.40219337754069895,CP descending contralateral 1 left
11208232,10907355,0.4040610178208843,A07b_a1l
4123145,4038469,0.408146266648584,A01x_a1l
5680013,17658978,0.41141484201616163,CPf descending 1 left
17732270,6125806,0.4126589058003898,CM4-dm Switcheroo 3 left
15315491,15556861,0.41334433016500394,A10i2?_a1l Chair-5-like?
15588711,10945795,0.41462633170141894,BLVp12 descending left
17114293,10017073,0.41502867831964485,A27k_up_a1l
17165755,13727202,0.4168104658798829,UNK contralateral descending 2 left
3504632,11988252,0.41732212941052804,A02c?_a1l 
3729496,3762317,0.41813592377703257,"Input from both Munin 3, into SOG left, PAIR #2"
4302562,3180525,0.4215840112572131,A03o_a1l
15997692,15507888,0.4267045300430341,AN-L-Sens-B2-ACp-18
1924051,17698681,0.42751440355704773,BAmas12 midline neuron 1 left
15571194,3234817,0.4288210664864096,MBE12 left
14046479,14046486,0.4296689244236598,A27e?_a1l
17223685,8880781,0.4303314829119351,DPMpm1 1 DN? left
19470184,3732322,0.4316728232320056,PC-IN-left
10089193,16257962,0.43171920195828184,A03a6_a1l 
10716080,3595837,0.43460321319521233,DPMm1 Brain descending into VNC left
18501001,1805669,0.4403349359870996,BLP34 descending 3 left
16337850,10017183,0.44261404494018675,A07d_a1l
18527962,19508873,0.44353276257274366,neuron 18527963_pair001
7808341,10227539,0.44446886336868974,crescent_a1l
11736972,15595823,0.4453796624808035,MN-L-Sens-B2-ACp-15
5132886,5997121,0.44799159201319794,A23g_a1l
16311502,7633929,0.44894961689593504,v'esA or v'esB or v'es2[1][2]_a1l (pair 1)
12000033,9750356,0.44908871313907184,BAmas12 SEZ descending left; Another SOG PN left
4188290,5010581,0.4493024139441385,EH left
7092417,8246750,0.449645115499832,47a & 33b PN left
20139548,17380345,0.45100152999774223,CM4 Bridle left
8047280,7587948,0.4524800417493031,down pOLP left
16434824,17355860,0.45303420183541754,BAla34 ascending 3 left
6446394,5462159,0.4535647326680494,PDM-DN_left
5690425,19010160,0.4563030108806745,CPf descending ipsilateral left
8421329,8039617,0.45657969543220955,A08e3_a1l 
5617164,10963761,0.456911378659293,v'td_a2l
6931770,11060026,0.4578502655581208,A01x_l
4467735,4102120,0.45786854649563,v'esA or v'esB or v'es2[1][2]_a1l (pair 4)
16562142,15894278,0.45874763993961254,UNK contralateral 3 left
15718275,15645825,0.4629382379789424,MN-L-Sens-B3-ACp-06 (J Neuron)
7107433,8253413,0.46634215287536385,45b PN left
7952981,8717219,0.4668077027991049,5thLN;left
16435686,18861011,0.4704510581380479,BAla34 ascending 1 left
16939375,8924186,0.4706781953908865,KC67
7195651,4824878,0.4727507837872177,Griddle-1 a1l
19298625,16154290,0.47498580062078366,Downstream of mPN iACT A1 18067335 left
722935,16312925,0.47929658162889666,ddaA a1l class III md
7340629,7331555,0.4804827589581191,v'td_a6l (Abdominal Sensory)
9768166,9772513,0.48211895593573995,A05x_t3l
1429969,15543068,0.48280454958526753,AN-L-Sens-B1-AVa-20
10179501,3091943,0.48376850220206924,A09g a1l Basin-3
2379529,3815483,0.48400193291397886,PVL2 left
3036249,15672957,0.48507125007266594,MN-L-Sens-B3-VM-12
18305433,17587730,0.4865062298556019,BAmv12 descending 1 left
918889,18684928,0.4880938007245337,A02o_a1l Wave-1
17380936,15542354,0.4885086514671242,AN-L-Sens-B1-AVa-33
3546835,2637812,0.4885838679839679,A02n_a1l Pseudolooper-4
15730680,15618756,0.48913427241259444,MN-L-Sens-B2-VM-20
15678833,3562954,0.48986810717071094,MN-L-Sens-B2-VM-21
4394777,4829813,0.4916481782653277,A12q_a1l
17732346,17378648,0.4920034149231276,DPMl12_post descending left
19051762,17913032,0.49322180963486173,Death grip left (new name now correct pair)
11007420,16884962,0.4944597258805241,DPMpl12 tall 2 left
4081479,5336476,0.49542006507302405,A19c_a1l
3539170,8159396,0.49830899994389233,BAla12 descending 1 left
4555763,5108525,0.4998514336618518,A08h_a1l
17361757,12813847,0.500101724789945,LH Processor_left
11455472,8257672,0.5001041811843854,VLEL9_a1l
1678567,6153877,0.5036009733517007,BU ; DALd 4_left
4363883,5382876,0.5039723390066214,v'td_a3l (Abdominal Sensory)
5764924,10947427,0.504869902474629,Telegoro-like 2 L
15998261,15451084,0.5050750770793476,AN-L-Sens-B2-ACp-15
12740290,2432564,0.5050859850879581,SEZ-IN-A01-left
15996518,3795498,0.5065915703146554,AN-L-Sens-B2-ACp-11
15688358,15588800,0.5081852775108271,MN-L-Sens-B2-ACp-20
1980134,7982307,0.5103103630798288,CPf descending ipsilateral-like left
7783303,4094905,0.5112171874107659,v'esA or v'esB or v'es2[1][2]_a1l (pair 3)
16928740,15560623,0.5121872023251249,DALcm12-v descending left
1011675,15541944,0.5134425900897306,AN-L-Sens-B2-ACp-02
4730042,16515841,0.5134442737801921,A18b3_a1l
18509063,11057449,0.5176260473560036,A06 (pre B5 01)_a1l
3486950,4700182,0.5190232925701153,vine left
16066985,14046245,0.5197423059217889,A27a_a1l
17015609,8790590,0.5200216680209273,T19f_t2l
4740178,4833168,0.5204708049772888,A05q_a1l
10766722,16450562,0.5225941152668158,DPMpm2 small arc left
12070159,15344242,0.5230423346718678,A10d_a1l 
4039711,4538613,0.5234578676232486,A03xyz_a1l
17473163,16571210,0.5290432684448219,DPMl contralateral descending left
12960079,15551560,0.5298983738754875,dmd1_a1l_JMpair3
15897280,2669844,0.5303300858899106,Horseshoe deviant left
8012953,8254894,0.5314250825584712,PN in Olfactory Bundle 2 left
17053270,5319633,0.5315077164562562,LAL to VNC up to A6_left
6263055,6412532,0.5321660176086448,hook-2_a1l
18087179,17587452,0.5330636624592,BAla34 ascending 2 left
15639294,7571966,0.5330751587507051,CPe contralateral descending left; CPobPm4 is CPe3/pep asc cand Left
14655602,15672269,0.5330998938376296,DPML1_l
21133456,18341449,0.5338581865167749,BLVa12 local brush left
15998782,15531916,0.534183427346822,AN-L-Sens-B2-ACp-04
17545695,14154154,0.5389777602152859,cypress left
15769680,15575327,0.5400635561406228,AN-L-Sens-B1-AVa-19
8644484,14531828,0.5421374765483945,A05g_a1l? lch projection neuron bilateral dendrites a1l
10756813,2648254,0.5439124811216018,Fragment with soma
13522678,5351821,0.5439694423083432,A05a_a1l
8057753,10949030,0.5461126226534826,A08j2_a1l
15938337,15595607,0.5470187332989352,MN-L-Sens-B2-ACp-08
15994926,15576194,0.5474709537739514,AN-L-Sens-B1-AVa-36
15997666,15508735,0.5479799338444986,AN-L-Sens-B2-ACp-01
18305476,13007383,0.5490377484471355,BAmv12 contralateral 1 left
5754346,3764792,0.5498673305146894,telegoro-1L
7769237,4219827,0.5506460656945199,A01k_a1l
1406463,15573450,0.5507607769025801,AN-L-Sens-B1-ACa-14
3946166,3620633,0.55458685728598,Pre-goro3 left
8196192,8095561,0.5550486214838029,Jaam-1_a1l (HMD1 (A12p))
2798040,5057361,0.5555677742597325,A02i_a1l
12420898,5162462,0.5560530105925172,BAmv12 looper 2 left
10553248,8496618,0.5595002078583745,DNs-17_left
15716309,15736147,0.5658570248573487,MN-L-Sens-B2-ACp-03
17728781,13644685,0.5661072440079598,BAlp4 ascending 5 left
16588928,17355892,0.5663583753217397,BAla34 descending left
4398543,17380092,0.5707562630969605,DPLl a 2 left
7005184,7569260,0.5710536689042104,CP1 d 1 left
20379247,17658602,0.5729800839314039,BLP12 bilateral horseshoe 3 left
17776982,6554358,0.5735776651806694,DPMpl12 double descending left
11105182,10158972,0.5741277412000014,clamp left
12500843,13242336,0.5744308309574776,BAla12 ascending 2 left
17269708,9747432,0.5747799757952926,a23X_a1l
7766016,10937355,0.5753588520584134,H-shaped _a1l
11756023,20344845,0.5760066968641947,BLP12 descending 2 left; dpn_left_1304_13
16504350,11064947,0.5765605764721601,A01bx_a1l
17746794,18720819,0.5776355918011565,UNK horseshoe 2 left
3032520,15640425,0.578894150826576,MN-L-Sens-B3-AVp-03
7764785,7732444,0.5837358988355639,lch5-1 a1l
986460,10110672,0.5859157485671866,ddaC_a1l
17728723,13084891,0.5873094463414232,lasso-top left
7865767,8243455,0.5885912915041908,83a PN left
1395971,15574231,0.5899133516427578,AN-L-Sens-B1-ACa-11
8235049,15264419,0.590981740915456,A06m_a1l
16422727,20443571,0.5913123959890827,BLP34 descending 6 left
10728318,3598000,0.5917605746995083,DPMm1 Brain descending into VNC 2 left
17165429,9513911,0.5939441718716428,MIXED small fork left
4975387,4839570,0.5955098946550214,A08d_a1l
6572414,13081886,0.5961014768657984,PVM21?_left (= Pre-goro15) (Munin PC Output (lower confidence branch))
16424131,13167025,0.5965587590013044,BAmas12_ven descending 1 left
17732791,15334461,0.5978449992539278,BAmas12_ven descending 2 left
15715796,15606918,0.6021916374693185,MN-L-Sens-B2-VM-04
14342744,15618614,0.6027017104298765,Tidal wave left
15519213,5791548,0.603300251463264,DALcm12 L v p 10 left
5343578,7184082,0.6038036688333319,A08x_a1l
10728333,13557064,0.6040890431080654,MDNa_left; pair 1 left
17574013,9085808,0.6045669239225426,UNK brancher 7 left - missing dendrite
17777031,15672263,0.605753588859093,DPM descending left
1347886,7160160,0.6062915468565458,AN-L-Sens-B2-AVp-01
11024782,4228864,0.6076450613654152,"A08h2_a2l (Jupiter left, not NB3-3)"
17062823,16393165,0.6091323698984622,KS LN 4a left
8070872,12422147,0.6110100926607787,UNK horseshoe 3 left; LNM_downstream_16.05
5684940,7982324,0.611132331352141,CPf descending 2 left
14046279,14046294,0.613285474278113,A02d_a1l 
9006142,5783868,0.6145971428504351,AK ; DALcm12 v p 7_left
4493199,8244823,0.6146466783194287,13a PN left
17359111,16316973,0.6172133998483675,BAmas12_dor SEZ descending left
10961507,3232808,0.6172133998483676,DL-LH_cand10 left
8814524,17340973,0.6172133998483676,DPM long neck left
10449035,17658948,0.6181817808630441,CP crossover left
5309932,10855206,0.6190552643224903,A03g_a1l
16311520,7636004,0.6204130760327228,v'pda a1l (class III)
7772437,12140587,0.6247048424994021,lesA_a1l
11717001,10683313,0.6248054685665497,BLP12 gripper 1 left; dpn_left_1304_1
8005609,10852875,0.6268462335295294,v'td_a2l (Abdominal Sensory)
10411574,17379420,0.6297049538778243,OL: CM4 ven ant 2 DNs_left
3220616,16278312,0.6309892200275796,A09 Contra Brain Projection_a1l
10609443,6114695,0.635855855098946,CM4-dm Switcheroo 2 left
10018260,17379372,0.639315734770081,CM4 dor med_l; CM4 dor ant 8 left
18058793,14588375,0.6425415566185744,UNK contralateral descending left
15514582,8826198,0.642555872108012,CPf Lever Puller left
9424902,3027876,0.6440052419818386,Tomato Vine 2_left
12820277,5298032,0.6446541890490157,A14a_a1l
15679577,18625446,0.6448206101145337,MN-L-Sens-B2-ACp-10
10858401,4034528,0.6450322524189515,A06a_a1l
1706716,15541976,0.6462741604081543,AN-L-Sens-B2-ACp-19
5186461,9853425,0.6467168275571554,AN-L-Sens-B3-ACp-09 (gustatory pheromone neuron)
14966092,15199884,0.6474485051627253,Drunken-6? a1l
18500915,16846902,0.6480274508377522,BLVa12 contralateral 1 left
17360022,9565674,0.6490565113483138,DPlal Curvy left
19298644,17537254,0.6509841975786576,CM4 cen ant 1 left
16259595,8246081,0.6513880045007249,67b PN left
3040481,4049878,0.6517665732968883,A09c a1l Basin-4
10728328,18464581,0.6518434166532163,MDNb_left; pair 2 left
7796832,9771412,0.6554505515968233,vchA/B a1l
4110483,17587726,0.6563062700965664,BAmv12 descending 2 left
12260696,15615589,0.6564074587930508,MN-L-Sens-B2-ACp-06
17022668,12474164,0.657755643872884,DPMm2 descending left
10058316,4113595,0.6589275477715015,A27neo_a1l
12840470,10495502,0.6592437329378193,U1: WB_DPMpl1_left
7012280,4061049,0.6599596027564957,v'td_vnc_a5l
162293,7577773,0.6621073880542508,lch5-2/4 a1l
16838915,8544824,0.6623367895930578,BLP claw 3 left
17608754,16362243,0.6627638191233141,AN-L-Sens-B2-VM-07
16059078,4130960,0.662906158070391,Local Crescent left
3050645,15639548,0.6639137299238815,MN-L-Sens-B3-VM-14
1428271,15572414,0.6648681113250987,AN-L-Sens-B1-AVa-22
15770032,3556191,0.6650090960423365,AN-L-Sens-B1-ACa-03
18740553,3814635,0.6650421965049939,MN_AN iACT PN left
17067625,16340011,0.6659130823434478,DPMl anterior hook left
16851577,16950798,0.6660112305240584,DALd descending 5 left; DALd_l  7
15766999,18231999,0.6663443970381193,AN-L-Sens-B1-AVa-38
9927082,7874184,0.6666666666666666,LN1;left
17358891,19190681,0.6666666666666666,ASB Gust descending left
1419315,15575232,0.6681059013698728,AN-L-Sens-B1-AVa-31
15722990,9604434,0.6684589892206843,UNK brancher 2 left
16098538,8670503,0.6700252101728082,DPLm2 gnarled left
10474936,11958584,0.6711771637665299,A06e_a1l (Saaghi-3)
16561224,6702943,0.6723344206133484,BAmd2 contralateral descending 1 left
12469990,10104463,0.6729632688629406,ddaB_a1l (class II)
8021456,13589251,0.6740862345759646,33a PN left
16950097,4847079,0.6743213373914576,DALcm?_l  16
159280,6276557,0.674747748738043,lch5-2/4 a1l
12820537,19806174,0.6749980837626188,A08a_a1l
1622901,6156152,0.6759263694193747,DALd bushy left; DALd_l  2
10219170,10499711,0.6759572424910963,A27l_a1l
9739780,3182103,0.6762684399150266,BLDc pointer left
3979181,5794678,0.6764773237673952,ipsigoro left
3944626,16195633,0.6789590312151933,DPMpm1 bushy descending left
3819859,4127944,0.6808500945964194,BLP34 looper 2 left; right_cpld
13671419,6195521,0.6819548310654775,dbd_a1l
5747036,20443544,0.6822009251754434,BLP34 descending 1 left
16544462,4515496,0.682695034788939,BAmv1/2 #3_left
16911458,12178825,0.6827887419989188,v'td_vnc_a6l
17951049,10263287,0.6836386248247611,SEZ-IN-07-left
16541149,10079731,0.684228090869836,BLAv12 ipsi 1 left
16547281,13722900,0.6851783352245323,Lure-2 left
40152,15573396,0.6855495910654015,AN-L-Sens-B1-ACa-10
17728632,17327188,0.6859943405700353,BAlc post ascending 1 left
12452356,6250655,0.6859943405700353,BAlc post ascending 2 left
5261424,4679139,0.6861095519021252,mPN iACT A2 left
16937395,9519425,0.6862474160217397,UNK brancher 1 left
18440675,12335381,0.6863332124129198,BAmas12 midline 3 left
15995404,15461769,0.686739707952487,AN-L-Sens-B2-ACp-22
4071032,12953345,0.6877939994915937,A02f_a1l 
15055590,14492880,0.6879091664345519,DPMl stick left
16950321,4127911,0.6882472016116853,BLP34 hook 1 left
11717014,21591037,0.6882973782021075,BLP12 gripper 2 left; dpn_left_1304_4
11745381,15653432,0.6888191071745056,MN-L-Sens-B2-ACp-07
5763407,10945111,0.6892947051175637,BLVp12 descending-like left
17904627,10015769,0.689307831306424,A27j_a1l
12366224,19857577,0.6898186222940674,BLVa_t ascending lateral 1 left
14514597,13986477,0.6902684899626333,I? ; Smash's forgotten ugly cousin_possible PVL005 - 3 Left_sibling
15677323,15653288,0.6903841895915338,MN-L-Sens-B2-ACp-18
11217208,5993001,0.6907726268421528,DPMl a 1 DPPT descending left
5088293,4097554,0.6920474815403569,AN-L-Sens-B3-ACpl-10
19919566,1137946,0.6921116970189682,mixed bpl terminal left
12360656,17819985,0.6922387156535303,Gust PN to LH left
18111410,4876839,0.6922705973789812,BLAv1_3_left
10110270,3786734,0.6932282369897353,v'ada_a1l
16972043,4507955,0.6932913549774357,N1_left
18088813,17660233,0.6944616384169247,CM4 small 1 left
1367171,15559195,0.6951818923583549,AN-L-Sens-B1-ACa-04
7867016,15094230,0.6965532133013168,DLN2_a1l
15997929,18620885,0.6966555594068983,AN-L-Sens-B2-ACp-23
16851496,16339338,0.6971949914838952,DALd LAL output neuron 1 left
6570401,8263821,0.6974002488089978,a03d/e_a1l
6578062,15233041,0.6979208738605412,A02b_a1l 
20316708,19167389,0.700140042014005,UNK horseshoe ventral left
